PROCESS	UNDERGOER	CAUSE	MANNER	RESULT	SOURCE	DEFINITIONS
Blinking	eye	irrigation using tears and a secreted lubricant		moisture	Wikipedia	Blinking provides moisture to the eye by irrigation using tears and a lubricant the eyes secrete.
Blinking	eye			open and close	Web	to open and close the eye, especially involuntarily
Blinking				moisten and oxygenate cornea	Web	We automatically blink 10 to 15 times a minute to moisten and oxygenate the cornea
Salivating	mouth	see or smell food	production	saliva	Web	to have a lot of saliva produced in your mouth because you see or smell food that you want to eat
Planting				grain, wheat, corn, fruits, and vegetables	Barrons	For there to be enough food, farmers plant and harvest grain, wheat, corn, fruits, and vegetables.
Planting	prepared ground	casting handfuls of seeds	process		Wikipedia	Hand sowing or (planting) is the process of casting handfuls of seed over prepared ground, or broadcasting
Planting	seed, bulb, plant		place	growth	Web	place (a seed, bulb, or plant) in the ground so that it can grow.
Planting	seeds or young plants		putting	growth	Web	putting seeds or young plants in the ground to grow.
Polluting	harmful gases		created	pollution	Barrons	Pollution is created from harmful gases.
Polluting	natural environment		introduction of contaminants	adverse changes	Wikipedia	Pollution is the introduction of contaminants into the natural environment that cause adverse change
Polluting	environmental contaminants	human activity	released		Web	Environmental pollution is the release of environmental contaminants, generally resulting from human activity.
Polluting	body of water	waste, chemicals, or other particles cause water to become harmful		harmful to fish and animals	Web	Water pollution is when waste, chemicals, or other particles cause a body of water (i.e. rivers, oceans, lakes) to become harmful to the fish and animals that need the water to survive.
Polluting	land		damaged or contaminated		Web	Land pollution is anything that damages or contaminates the land.
Migration	animals	changes in weather	moving to warmer climate		Barrons	Moving to a warmer climate in the cold months is another way some animals deal with changes in the weather.
Migration	animals		move to warmer climate	avoid change in seasons	Barrons	When animals move to a warmer climate to avoid the change in seasons, we call this migration.
Migration	individuals	seasonal basis	long-distance movement		Wikipedia	migration is the relatively long-distance movement of individuals, usually on a seasonal basis
Migration	animal	own locomotory exertions	movement		Wikipedia	Migratory behavior is persistent and straightened out movement effected by the animal’s own locomotory exertions or by its active embarkation upon a vehicle
Migration	large group of people or animals		movement	another place	Web	The definition of a migration is a movement to another place, often of a large group of people or animals.
Hibernation		winter		dormant state	Barrons	Hibernation is going into a dormant state for the winter.
Hibernation	animals	storing food and going dormant	prepare		Barrons	When some animals prepare for the long winters by storing food and going dormant it is called hibernation.
Hibernation	endotherms	inactivity and metabolic depression	state		Wikipedia	Hibernation is a state of inactivity and metabolic depression in endotherms
Hibernation	animals	deep sleep	period	survive winter extremes	Web	Hibernation is an extended period of deep sleep, or torpor, that allows animals to survive winter extremes
Hibernation			deep sleep	save energy and survive winter	Web	Hibernation is a deep sleep that helps them to save energy and survive the winter without eating much.
Evaporation	liquid water		changing	gaseous state (vapor)	Barrons	Evaporation involves changing water from its liquid state to a gaseous state (vapor).
Evaporation	liquid water		changing	water vapor	Barrons	Liquid water changing to water vapor is evaporation.
Evaporation	liquid substance	increase in temperature and/or pressure	changing	gaseous substance	Web	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.
Evaporation	liquid		vaporization	gaseous phase	Wikipedia	Evaporation is a type of vaporization of a liquid that occurs from the surfaceof a liquid into a gaseous phase that is not saturated with the evaporating substance.
Evaporation	liquid water	heated by the sun	change	water vapor	Barrons	The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.
Camouflage	animals		color change	hide	Barrons	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.
Camouflage		materials, coloration, and/or illumination		concealment	Wikipedia	Camouflage is the use of any combination of materials, coloration or illumination for concealment
Camouflage	animals	blend in to natural environment	adaptation	avoid detection	Web	Camouflage is an adaptation that helps many animals avoid detection by predators or prey because it allows them to blend in to their natural environments.
Camouflage	species		structural adaptation	blend in with surroundings	Web	Structural adaptation that enables species to blend with their surroudings; allows a species to avoid detection by predators
Camouflage	humans and animals		defense	avoid detection or recognition	Web	A primary defense against predators throughout the animal kingdom (and against the enemy during human warfare) is to avoid detection or recognition through camouflage
Coloration	animal	reflection or emission of light		animal's appearance	Wikipedia	Animal coloration is the general appearance of an animal resulting from the reflection or emission of light from its surfaces.
Coloration	object		property		Barrons	Color, odor, hardness, and taste are examples of an object's properties.
Coloration			appearance		Web	a visual appearance with regard to color.
Reading		decoding symbols	cognitive process	construct or derive meaning	Wikipedia	Reading is a complex cognitive process of decoding symbols in order to construct or derive meaning (reading comprehension)
Reading	written or printed matter		action or skill		Web	the action or skill of reading written or printed matter silently or aloud.
Resting			dormancy		Web	being or characterized by dormancy
Resting				no growth, division, or activity	Web	In a temporary phase of not growing, dividing, or being active
Driving		force or compulsion	send or expel	movement	Web	to send, expel, or otherwise cause to move by force or compulsion
Driving	vehicle or animal		guide	movement	Web	to cause and guide the movement of (a vehicle, an animal, etc.)
Talking		speaking	communicate	exchange ideas or information	Web	to communicate or exchange ideas, information, etc., by speaking
Talking		spoken or sign language		exchange thoughts or opinions	Web	To exchange thoughts or opinions in spoken or sign language;converse
Feel sleepy			need sleep		Web	Ready for or needing sleep
Feel sleepy			induce	sleep	Web	Inducing sleep
evaporation	water in liquid state		changing	water in gaseous state (vapor)	Barrons	Evaporation involves changing water from its liquid state to a gaseous state (vapor)
evaporation	Liquid water		changing	water vapor	Barrons	Liquid water changing to water vapor is evaporation.
evaporation	liquid water	energy from the sun	change	water vapor	Barrons	The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.
evaporation	Essential oils		readily		FrameNet	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.
evaporation	liquid		vaporization	liquid in gaseous phase	Wikipedia	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.
evaporation	liquid	heat	changing	gas	Web (dictionary.com)	The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).
evaporation	matter in one state		change	matter in another state	Web (britannica kids)	Evaporation and condensation are two processes through which matter changes from one state to another.
evaporation			extracting moisture		Web (thefreedictionary.com)	evaporation - the process of extracting moisture
deposition	particle		stop moving	particle	Barrons	Deposition occurs when the particles stop moving.
deposition		interaction between air, water, and land.			Barrons	Erosion and deposition result from the interaction between air, water, and land.
deposition	soil, rocks, sediments		added	landform, land mass	Wikipedia	Deposition is the geological process in which sediments, soil and rocks are added to a landform or land mass.
deposition	rock, sand, sediment	erosion	deposited		Web	Deposition is the process by which rocks, sand and sediment are deposited by the forces of erosion.
deposition	solution, suspension, mixture, vapor		settling	settled particles (atoms or molecules), sediment	Web	Deposition is the settling of particles (atoms or molecules) or sediment from a solution, suspension and mixture or vapor onto a pre-existing surface.
deposition	gas		transform	solid	Web	Deposition is a process in which gas transforms into solid.
sight	We, human, animal		with our eyes	see	Barrons	We see with our eyes.
sight			use your senses	observe matter	Barrons	The simplest way to observe matter is to use your senses: sight, sound, taste, touch, and hearing.
sight	You, human, animal		sense of sight	observe an orange's color	Barrons	You can observe an orange's color with your sense of sight.
sight		light	detect, interpret	perception known as sight		Vision or seeing is one of the senses, consisting of the ability to detect light and interpret (see) it as the perception known as sight.
sight			by using the eyes	person or animal becomes aware of light, color, etc.	Web	the sense through which a person or animal becomes aware of light, color, etc., by using the eyes
sight			processing information that is contained in visible light	interpret the surrounding environment	Wikipedia	Visual perception is the ability to interpret the surrounding environment by processing information that is contained in visible light. The resulting perception is also known as eyesight, sight, or vision.
hear	We, human, animal		with our ears	hear	Barrons	We hear with our ears.
hear			use your senses	observe matter	Barrons	The simplest way to observe matter is to use your senses: sight, sound, taste, touch, and hearing.
hear			matter vibrates and the particles in the matter hit each other.	sound	Barrons	Sound is energy (noise) that we hear when matter vibrates and the particles in the matter hit each other.
hear	ear		take sound waves and turn them into something our brain can understand	hear, perceive sound	Web	Hearing is how we perceive sound. It's how our ears take sound waves and turn them into something our brain can understand.
hear			via the auditory sense	perceive (sound)	Web	perceive (sound) via the auditory sense
smell	olfactory receptors	chemicals in gaseous	stimulated	sensation, smell	Web	the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
smell	You, human, animal		with your sense of smell	observe an orange's odor	Barrons	You can observe an orange's odor with your sense of smell.
smell	We, human, animal		with our nose	smell	Barrons	We smell with our nose.
smell			through the nose by means of the olfactory nerves	perceive the odor or scent	Web	to perceive the odor or scent of through the nose by means of the olfactory nerves;
smell			detection and perception of chemicals floating in the air	sense of smell, called olfaction	Web	The sense of smell, called olfaction, involves the detection and perception of chemicals floating in the air.
taste		chemical composition of a soluble stimulus	taste buds in the tongue and throat convey information	sensation	Web	the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
taste			with our tongue	taste	Barrons	We taste with our tongue.
taste	taste buds		identify	taste sweet, sour, bitter, and tart	Barrons	There are tiny sensors on the tongue called taste buds that identify different tastes such as sweet, sour, bitter, and tart.
taste		contact with a substance	perceived	sensation of flavor	Web	the sensation of flavor perceived in the mouth and throat on contact with a substance.
taste			use your senses	observe matter	Barrons	The simplest way to observe matter is to use your senses: sight, sound, taste, touch, and hearing.
fall			move, rapidly, freely	lower level	Web	move downward, typically rapidly and freely without control, from a higher to a lower level.
fall	object	gravitational attraction between the object and the Earth		fall back down to Earth's surface	Barrons	If an object is thrown into the air, the force used will only allow it to travel a certain distance before the gravitational attraction between the object and the Earth causes it to fall back down to Earth's surface.
fall	Earth	tilt and the position around the sun	during its revolution	distinct seasons: winter, spring, summer, and fall	Barrons	Because of the tilt and the Earth's position around the sun during its revolution the Earth experiences four distinct seasons: winter, spring, summer, and fall.
fall	liquid water		falling from the sky	Rain	Barrons	Rain is liquid water falling from the sky.
fall		gravity	descend freely		Web	to descend freely by the force of gravity
melt	water from its solid state (ice)	addition of heat	changing	water in its liquid state	Barrons	Melting is the opposite of freezing and involves changing water from its solid state (ice) to a liquid state by the addition of heat.
melt	ice		physical change, not a chemical change		Barrons	Melting of ice is a physical change, not a chemical change.
melt	solid	heat	changes	liquid	Web	the process whereby heat changes something from a solid to a liquid
melt	solid		phase transition	liquid	Wikipedia	Melting is a physical process that results in the phase transition of a substance from a solid to a liquid.
melt	solid	temperature of its melting point		liquid	Web	When a solid reaches the temperature of its melting point, it can become a liquid.
rotate	Earth		once every 24 hours		Barrons	The Earth rotates, or spins, on its axis once every 24 hours.
rotate			around an axis or center	move in a circle	Web	move or cause to move in a circle around an axis or center.
rotate	object		circular movement around a center		Wikipedia	A rotation is a circular movement of an object around a center (or point) of rotation.
rotate	sun rising in the east	rotation of the Earth	appear to move through the sky	sun setting in the west	Barrons	It is the rotation of the Earth that makes the sun appear to move through the sky during the day, rising in the east and setting in the west.
rotate	Earth	rotation		day and night	Barrons	This rotation is what results in day and night on Earth.
push	rock		potential energy is changed to kinetic energy	begins to move down the hill	Barrons	If you give that rock a push and it begins to move down the hill, the potential energy is changed to kinetic energy, allowing the rock to move.
push	box	the force, or friction, the floor has on the box			Barrons	The box pushed across the floor will eventually stop because of the force, or friction, the floor has on the box.
push	object	being pushed, less friction		move easier	Barrons	Objects being pushed over a smooth surface will move easier due to less friction.
push	something	force		move something away	Web	the act of applying force in order to move something away
push	someone or something	force		move them away from oneself or the origin of the force	Web	exert force on (someone or something), typically with one's hand, in order to move them away from oneself or the origin of the force.
hibernation	animals	changes in their environment, seasonal changes	respond		Barrons	Ways that animals respond to changes in their environment, such as seasonal changes include hibernation, migration, growing thick fur, or shivering.
hibernation	animals	long winters	prepare		Barrons	When some animals prepare for the long winters by storing food and going dormant it is called hibernation.
hibernation	animal		during the winter	animal in state of resting (torpor) or deep sleep	Web	Hibernation is a a state of resting (torpor) or deep sleep some animals go into to conserve energy, usually during the winter.
hibernation	animal			slow their metabolism,  body temperature and breathing rates lowered, gradually using up body fat	Web	During hibernation animals slow their metabolism to very low levels, with body temperature and breathing rates lowered, gradually using up body fat which was stored up during the warmer months during which the animal was active.
hibernation	animals		hibernate (go into a deep sleep) 	survive throughout the cold season when the weather is freezing and the food is scarce	Web	Some animals hibernate (go into a deep sleep) so they can survive throughout the cold season when the weather is freezing and the food is scarce.
migration	animals	change in seasons		move to a warmer climate	Barrons	When animals move to a warmer climate to avoid the change in seasons, we call this migration.
migration	animals (especially birds or fishes) in one region		periodic passage	animals (especially birds or fishes) in another region	Web	the periodic passage of groups of animals (especially birds or fishes) from one region to another for feeding or breeding
migration	animals	scarce food		migrate	Web	food is the single most important reason that animals migrate
migration	animals	extreme heat or cold		migrate	Web	Animals also migrate to avoid extreme heat or cold
migration	animal, typically a bird or fish in one region or habitat		according to the seasons	animal, typically a bird or fish in another region or habitat	Web	(of an animal, typically a bird or fish) move from one region or habitat to another, especially regularly according to the seasons.
camouflage	Animals		change color or are of a color similar to their environment	animals cannot be easily seen	Barrons	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.
camouflage	animal, person, building			difficult for enemies to see animal, person, building	Web	Something, that makes an animal, person, building etc. difficult for enemies to see.
camouflage			mimicking the surrounding environment	avoiding detection	Wikipedia	Camouflage is a method of avoiding detection by mimicking the surrounding environment
camouflage	leopard		camouflage	blend in with the forest shadows	Web	The leopard's camouflage makes it blend in with the forest shadows.
camouflage	Rabbit's white fur			camouflage in the snow.	Web	Rabbits use their white fur as camouflage in the snow.
movement		locomotion system		movement	Barrons	The locomotion system is responsible for movement.
movement				change in physical location or position	Web	an act of changing physical location or position or of having this changed.
movement	sand	wave action	movement		Barrons	movement of sand along a beach by wave action
hibernation	Animal	Seasonal Change(Long Winters)	Storing Food and Going Dormant	Dormant Animal	Barrons	When some animals prepare for the long winters by storing food and going dormant it is called hibernation.
hibernation	mammals, reptiles, and amphibians	Winter	by being in seclusion		Web	to spend the winter in close quarters in a dormant condition, as bears and certain other animals.
hibernation	Animals	Winter / Cold Climate	Deep Sleep, 	Lower Body Temperature, Slow breathing and heart rate	Web	An inactive state resembling deep sleep in which certain animals living in cold climates pass the winter. In hibernation, the body temperature is lowered and breathing and heart rates slow down. Hibernation protects the animal from cold and reduces the need for food during the season when food is scarce.
hibernation	Rodents, Animals	Winter	decrease its metabolic rate	decreased body temperature	Wikipedia	Hibernation is a state of inactivity and metabolic depression in endotherms.
germination	Seed	 temperature, water, oxygen and sometimes light or darkness.	grow	Plant	Wikipedia	Germination is the process by which a plant grows from a seed. The most common example of germination is the sprouting of a seedling from a seed of an angiosperm or gymnosperm.
germination	Seed, spore or bulb		develop	plant	web	to develop into a plant or individual, as a seed, spore, or bulb.
germination	seeds	need air, water, the right temperature, good soil conditions, and the right amount of light	grow	new plant	Britannica	Seeds need the right conditions to germinate, or grow into a new plant.
germination	seeds	water, oxygen, and proper temperature, proper light	enlarge	root(radicle) then shoot(plumule)	Web	The magic process when a seed comes to life.
Migration	animals	Winter	move	Animal is in a warm place.	Barrons	Migration is moving to warmer climates.
Migration	mammals, birds, fishes, insects and other animals	to breed, to find food, to hibernate or ret for winter	move		Britannica	Many mammals, birds, fishes, insects, and other animals move from one place to another at certain times of the year. This movement is called migration.
Migration	Mammals, insects, fish, and birds	Migration is usually a response to changes in temperature, food supply, or the amount of daylight, and is often undertaken for the purpose of breeding.			Web	The seasonal movement of a complete population of animals from one area to another.
Migration	atom(s), double bond	influence of electric fields.		new bonds are formed.	Web	The movement of one atom or more, or of a double bond, from one position to another within a molecule.
Migration	birds, mammals,  fish, reptiles, amphibians, insects, and crustaceans 	local climate, local availability of food, the season of the year or for mating reasons	annual or seasonal movement		Wikipedia	Animal migration is the relatively long-distance movement of individuals, usually on a seasonal basis.
Communication	Human, animals	Communicate through sound, scents	transfer	exchange of ideas and thoughts.	Web	People learn and share information through communication. Communication is not only a human activity. Animals communicate through sounds, scents
Communication	organisms		speech, signals,writing, or behavior.		Web	activity by one organism that changes or has the potential to change the behavior of other organisms.
Communication	molecule, cell, organism		chemical or electrical signals or by behavior.		Web	The transfer of information from one molecule, cell, or organism to another, as by chemical or electrical signals or by behaviors.
Communication	living organism		gesture, signals, cellular level signals, sexual conduct.		Wikipedia	Exchange of information between living organism.  Animal communication can be defined as any behavior of one animal that affects the current or future behavior of another animal.
measure	properties		quantitative comparison	quantitative value	Web	to ascertain the extent, dimensions, quantity, capacity, etc., of, especially by comparison with a standard:
measure	Something		comparison		web	ascertain the size, amount, or degree of (something) by using an instrument or device marked in standard units or by comparing it with an object of known size.
measure					Barrons	A ruler measure length. A balance measures mass. A thermometer measures temperature. A graduated Cylinder measures volume.
predict	event		reasoned basis		Web	to state or make a declaration about in advance, esp on a reasoned basis
predict	something (event)		special knowledge or inference		Web	to tell about something in advance of its occurrence by means of special knowledge or inference
predict	things		assumption, guess		Wikipedia	is a statement about the way things will happen in the future, often but not always based on experience or knowledge.
explain			giving detailed account(information)	Something becomes understandable and clear.	Web	to make (something) comprehensible, esp by giving a clear and detailed account of the relevant structure, operation, surrounding circumstances, etc
explain					Web (instances)	The professor used a diagram to explain the theory of continental drift. The manual explained how the new software worked.
explain	A fact.	to make the fact more understandable and clear.	describe a set of facts	clear and detailed fact.	Wikipedia	a set of statements constructed to describe a set of facts which clarifies the causes, context, and consequences of those facts.
Observe	Orange		sense of sight	color of orange is known.	Barrons	You can observe an orange's color with your sense of sight.
Observe	Orange		sense of smell	odor of orange is known.	Barrons	You can observe an orange's odor with your sense of smell.
Observe	Orange		Sense of touch	texture of orange is known.	Barrons	You can observe an orange's texture with your sense of touch.
Observe	Orange		sense of taste	taste of orange is known.	Barrons	You can observe an orange's taste with your sense of taste.
Observe	Object		watch carefully	a fact about the object is known.	Web	to see, watch, perceive, or notice:
Observe	Scientific Method	to formulate and test hypothesis.	predict , test and make conclusions.		wikipedia	 the active acquisition of information from a primary source. It involve the recording of data via the use of instruments. The term may also refer to any data collected during the scientific activity.
precipitation	water		falls	water on earth	Barrons	Precipitation is the term used to describe water (moisture) that falls from the sky.
precipitation	water		falls	rain, sleet, snow, hail	Barrons	Different forms of precipitation include: Rain is liquid water falling from the sky. Sleet is freezing rain falling from the sky. Snow is solid water falling from the sky. Hail is solid balls of water and dust falling from the sky. 
precipitation	water vapor	condensation	falls	rain , snow, sleet, dew	Web	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.
precipitation	Atmospheric water vapor	condensation	falls under gravity	drizzle, rain, sleet, snow, graupel and hail.	wikipedia	precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.
precipitation	liquid and solid particles in cloud.		falls	particles reaching ground.	Britannica	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation
evaporation	water (liquid State)		Changing	vapor (gaseous state)	Barrons	Evaporation involves changing water from its liquid state to a gaseous state (vapor).
evaporation	Ocean Water		enters	water in atmosphere.	Barrons	Water from the oceans enters the atmosphere through evaporation.
evaporation	cloud		gets	water in clouds.	Barrons	Clouds get their water from evaporation.
evaporation	liquid 		changes	gas	Britannica	In evaporation, matter changes from a liquid to a gas.
evaporation	liquid	temperature below boiling point	changes	vapor	Web	The change of a liquid into a vapor at a temperature below the boiling point.
evaporation	liquid		vaporization	gaseous phase.	wikipedia	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.
deposition	particle		stop moving	stationary particle.	Barrons	Deposition occurs when the particles stop moving.
deposition		interaction between air, water and land.			Barrons	Erosion and deposition result from the interaction between air, water, and land.
deposition	rocks, stones, gravel, sand, mud		laying down		Britannica	Deposition is the laying down of materials, such as rocks, stones, gravel, sand, and mud.
deposition	matter	accumulation or laying down	natural process	sediments  in a river, mineral deposition	Web	The accumulation or laying down of matter by a natural process, as the layingdown of sediments in a river or the accumulation of mineral deposits in a bodilyorgan.
deposition	gas		changing	solid	Web	The process of changing from a gas to a solid without passing through an intermediate liquid phase
deposition	molecules		settle		wikipedia	deposition occurs when molecules settle out of a solution.
deposition	sediments, soil and rocks		added		wikipedia	Deposition is the geological process in which sediments, soil and rocks are added to a landform or land mass.
deposition	gas		transforms	solid	wikipedia	a phase transition in which gas transforms into solid.
runoff	Earth's Surface	flowing water	flowing		Barrons	Water flowing on the Earth's surface is referred to as runoff.
runoff	something	rain that flows off from land in streams.	drains or flows		Web	something that drains or flows off, as rain that flows off from the land in streams.
make food	plant		photosynthesis	food	Barrons	Chlorophyll is used for photosynthesis, the process by which plants make food.
make food	plants		give off	oxygen and water	Barrons	When plants make food, they give off oxygen and water.
make food	primary producer		makes	food	Britannica	Food chains start with a primary producer that makes its own food.
eliminate waste	all animals				Barrons	All animals grow, take in nutrients, breathe, reproduce, eliminate waste, and die.
eliminate waste	body	water	get rid off		Britannica	It is also needed to carry other nutrients, to regulate body temperature, and to help eliminate wastes.
eliminate waste			getting rid		Web	It is the process of getting rid of waste material.
take in nutrients.	Living Things		take in 	they grow and create energy.	Barrons	Living things need to take in nutrients so that they can grow and create energy.
grow	All Living things				Barrons	They can grow, take in nutrients, breathe, reproduce, eliminate waste, and die.
grow	living organism or part		assimilation of nutrient, increase in size	developed organism	Web	to increase by natural development, as any living organism or part by assimilation of nutriment; increase in size or substance.
grow	living organism			larger or bigger in size.	Web	To be capable of growth; thrive
reproduce	All Living things				Barrons	They can grow, take in nutrients, breathe, reproduce, eliminate waste, and die.
reproduce	plants	by producing flowers and fruits that have seeds.	producing	fruits 	Barrons	Plants reproduce by producing flowers and fruits that have seeds.
reproduce	living organism	asexual or sexual	creates	a likeness of itself.	britannica	Reproduction is the process by which a living organism creates a likeness of itself. The process may be either asexual—meaning that an organism reproduces by itself alone—or sexual—which requires both male and female sex cells. The organs, glands, and other structures that enable an organism to reproduce are known as the reproductive system.
reproduce	organism	asexual or sexual	produce	one or more other individuals.	web	to produce one or more other individuals of (a given kind of organism)by some process of generation or propagation, sexual or asexual.
