QUESTION	OPTION_A	OPTION_B	OPTION_C	OPTION_D	CORRECT_ANSWER	PREDICTED_ANSWER	SCORES
During <span class="blank"> </span>, autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 	chemosynthesis	photosynthesis	evaporation	nitrogen fixation	photosynthesis	photosynthesis	[('photosynthesis', 1.0), ('evaporation', 0.86944165257800599), ('chemosynthesis', 0.62240609794977897), ('nitrogen fixation', 0.12456536177527734)]
There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class="blank"> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. 	composted	separated	processed	crushed	composted	processed	[('processed', 0.23804388628884157), ('separated', 0.013985829232742487), ('crushed', 3.1451800152341572e-06), ('composted', 0)]
When a liquid changes to a gas it is called 	condensation	evaporation			evaporation	evaporation	[('evaporation', 1.6579486747358512), ('condensation', 0.54802642363895027)]
When you leave a glass of water standing on the counter, water forms on the outside of the glass. This is an example of <span class="blank"> </span>. 	condensation	evaporation			condensation	condensation	[('condensation', 0.9349250655253537), ('evaporation', 0.667895898509824)]
The movement of water back and forth between air and the Earth's surface is called the<span class="blank"> </span>. 	condensation	water cycle	evaporation		water cycle	water cycle	[('water cycle', 1.3923426670807397), ('condensation', 0.97250101455721472), ('evaporation', 0.89821247460817988)]
The process by which a liquid changes to a gas 	condensation	water cycle	evaporation		evaporation	evaporation	[('evaporation', 1.6325803783070818), ('water cycle', 0.38018185340056354), ('condensation', 0.33730286484535404)]
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	contour plowing	terracing	crop rotation	fertilization	crop rotation	crop rotation	[('crop rotation', 0.53475996224789824), ('contour plowing', 0.2012552810039564), ('terracing', 0.19676305265410446), ('fertilization', 0.11350677824386073)]
The process of cutting into a hillside to slow the speed of water flowing down a slope 	contour plowing	terracing	windbreaking	fertilization	terracing	contour plowing	[('contour plowing', 0.30393606741168139), ('terracing', 0.28322591176905965), ('fertilization', 0.2461138163063169), ('windbreaking', 0.10522307557986897)]
The process of adding fertilizer to soil to replace nutrients used up by previous crops 	crop rotation	fertilization	strip farming	terracing	fertilization	fertilization	[('fertilization', 0.5388817728743458), ('terracing', 0.16385852034945272), ('crop rotation', 0.14295160887817759), ('strip farming', 0.10930961670725863)]
Drinking lots of salt water can kill a person. The salt in the water moves to the cells, where there is very little salt. As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies. What causes this to happen? 	diffusion	osmosis			osmosis	osmosis	[('osmosis', 0.53304166144170018), ('diffusion', 0.3987049125024183)]
The final stage of the erosional process in which materials are dropped in another location is called <span class="blank"> </span>. 	dropping	deposit	deposition		deposition	deposition	[('deposition', 0.38240959249807499), ('deposit', 0.38240959249807499), ('dropping', 0.080791171919303156)]
A species that no longer exists. 	extinction	classify			extinction	extinction	[('extinction', 0.54164835306719783), ('classify', 0.24038468869164958)]
Which is the best example of natureâ??s recycling process? 	erosion	weathering	the water cycle		the water cycle	erosion	[('erosion', 0.33874072017588702), ('weathering', 0.14864424178068911), ('the water cycle', 0.11982714015646462)]
The process of wearing away rocks by natural means is called 	erosion	weathering			weathering	weathering	[('weathering', 0.61307882287916171), ('erosion', 0.42954196244044768)]
The process of moving sediment by wind, moving water, or ice is 	erosion	weathering			erosion	weathering	[('weathering', 0.53462194505976945), ('erosion', 0.44425655066689884)]
What is the process that moves pieces of rock and soil? 	erosion	weathering			erosion	erosion	[('erosion', 1.0050812915329184), ('weathering', 0.58184403660861395)]
The process of breaking down rocks into smaller particles is called: 	erosion	weathering	sedimentation		weathering	erosion	[('erosion', 0.66242294423249248), ('weathering', 0.50226690350566605), ('sedimentation', 0.055167060214577547)]
Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called: 	evaporation	condensation	precipitation		precipitation	precipitation	[('precipitation', 1.1924003627309014), ('evaporation', 0.65344176008265331), ('condensation', 0.37417956779925737)]
When liquids are heated, this occurs: 	evaporation	melting			evaporation	evaporation	[('evaporation', 0.49286130773987008), ('melting', 0.11514398167577954)]
The process by which a gas changes into a liquid is called <span class="blank"> </span>. 	evaporation	precipitation	condensation	transpiration	condensation	condensation	[('condensation', 1.5159679467149993), ('evaporation', 0.78907920082578631), ('transpiration', 0.50818106117789008), ('precipitation', 0.21211430069179937)]
What is the third step of the water cycle? 	evaporation	precipitation	run off	condensation	precipitation	run off	[('run off', 1.0), ('condensation', 0.3675044673550405), ('precipitation', 0.36166403341068293), ('evaporation', 0.028716258640076792)]
What is water vapor in the air called? 	evaporation	humidity	respiration		humidity	humidity	[('humidity', 1.0), ('evaporation', 0.72055666322971901), ('respiration', 0)]
The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	fertilization	crop rotation	contour plowing	strip farming	strip farming	contour plowing	[('contour plowing', 0.25745570116222005), ('crop rotation', 0.23022892909254145), ('fertilization', 0.22070605272946234), ('strip farming', 0.21392324517606434)]
Bees help flowers reproduces through a process called 	fertilization	phototropism	transpiration	pollination	pollination	transpiration	[('transpiration', 0.45840945419182688), ('fertilization', 0.3426359434118208), ('pollination', 0.25901934465246146), ('phototropism', 0.11585280755723772)]
Mixtures can be separated by all of the following means except which one? 	filtering	evaporation	boiling		boiling	filtering	[('filtering', 0.1181640625), ('evaporation', 0.069761620758562751), ('boiling', 0.0032591019125525868)]
When you rub your hands together very quickly, it produces heat and is called 	friction	gravity			friction	gravity	[('gravity', 1.0), ('friction', 0.51121500464154046)]
The force that pulls two objects toward each other is called <span class="blank"> </span>. 	gravity				gravity	gravity	[('gravity', 0.20894007685081992)]
A force that pulls objects toward each other is <span class="blank"> </span>. 	gravity				gravity	gravity	[('gravity', 0.26329898119351086)]
A change in an object's position is called: 	motion	pulling			motion	motion	[('motion', 0.81715276823915173), ('pulling', 0.052096311705690214)]
Andy is cooking a piece of ham in a pan. <br/>What is this an example of? 	friction	conduction			conduction	friction	[('friction', 0.052501398866449625), ('conduction', 0)]
What do we call the process of a seed developing into a plant? 	regeneration	germination			germination	germination	[('germination', 1.5505785714205076), ('regeneration', 0.24337372915069516)]
What process ends with a "new and improved" plant? 	grafting	photosynthesis	germinating		grafting	photosynthesis	[('photosynthesis', 0.89656824245436795), ('germinating', 0.71592326991690947), ('grafting', 0.3575021734672163)]
A force that resists motion created by objects rubbing together is <span class="blank"> </span>. 	gravity	friction			friction	friction	[('friction', 0.40377217280409416), ('gravity', 0.17994031790413609)]
What is it called when an object is moved from one position to another? 	gravity	work			work	work	[('work', 0.4004640300456595), ('gravity', 0.30309806976177028)]
When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	help	destroy	build	plant	destroy	build	[('build', 0.030633310229018839), ('plant', 0.0065173117097133918), ('help', 0.0024862754878750919), ('destroy', 0)]
To travel from one place to another. 	hibernate	camouflage	migrate		migrate	migrate	[('migrate', 0.13364257615994213), ('camouflage', 0.0337300422437814), ('hibernate', 0.033544670824273426)]
What do you call movements from one location to another? 	hibernation	migration			migration	migration	[('migration', 0.92458398744113035), ('hibernation', 0.0027566295318303762)]
When closely related living things are bred together, it is called 	adaptation	crossbreeding			crossbreeding	crossbreeding	[('crossbreeding', 0.027777777777777776), ('adaptation', 0)]
The force that keeps us on Earth is <span class="blank"> </span> 	inertia	magnetism	gravity		gravity	inertia	[('inertia', 1.0), ('magnetism', 0.66971760789008417), ('gravity', 0.23265291048969772)]
__________ is the movement of a group of one type of animal from one region to another and back again. 	hibernation	migration			migration	migration	[('migration', 1.3866370413139202), ('hibernation', 0.96637559730082911)]
The process of a liquid becoming a gas is called <span class="blank"> </span> 	melting	boiling	evaporation		evaporation	evaporation	[('evaporation', 1.5011758829653583), ('melting', 0.81458313911238123), ('boiling', 0.57104020148305368)]
Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	metamorphosis	photosynthesis	pollination	reproduction	photosynthesis	photosynthesis	[('photosynthesis', 1.842374591908672), ('reproduction', 0.98212317680733308), ('pollination', 0.9404365674483216), ('metamorphosis', 0.60848869598702793)]
To go into a deep sleep. 	migrate	hibernate	camouflage		hibernate	hibernate	[('hibernate', 0.49093615235924343), ('migrate', 0), ('camouflage', 0)]
Which of the following must all plant and animal species do in order for each species to survive? 	migrate	reproduce	make food	change color	reproduce	make food	[('make food', 1.0), ('reproduce', 0.91169952313870217), ('migrate', 0.77911505758458732), ('change color', 0)]
What helps an animal look like another animal to protect it from predators? 	migration	camouflage	mimicry		mimicry	mimicry	[('mimicry', 1.0885462270369453), ('migration', 0.97216219388027447), ('camouflage', 0.9505593046164531)]
An adaptation in which an animal looks very much like another animal or an object is a _____________. 	mimicry	camouflage			mimicry	camouflage	[('camouflage', 0.8610699666624293), ('mimicry', 0.71196919445391837)]
<span class="blank"> </span> is an animal's color or pattern that helps it blend in with its surroundings. 	mimicry	camouflage			camouflage	camouflage	[('camouflage', 0.97728807166883991), ('mimicry', 0.8125)]
The process that forms reproductive cells is called? 	mitosis	meiosis			meiosis	mitosis	[('mitosis', 1.0847738898377437), ('meiosis', 0.60750928402798099)]
Which is reproduction that requires a male and female cell? 	mitosis	sexual reproduction	asexual reproduction		sexual reproduction	sexual reproduction	[('sexual reproduction', 1.0480822675156152), ('asexual reproduction', 1.0), ('mitosis', 0)]
<span class="blank"> </span> is a change of position. 	motion	gravity			motion	motion	[('motion', 0.77446235399454688), ('gravity', 0)]
The force that pulls objects to the center of the Earth is called? 	motion	friction	gravity	acceleration	gravity	acceleration	[('acceleration', 0.84999999999999998), ('friction', 0.48248882611269689), ('motion', 0.45844803563837966), ('gravity', 0.15026428437305689)]
When something changes position, it is in? 	motion	friction	gravity	acceleration	motion	motion	[('motion', 0.41610691807484734), ('acceleration', 0.25212805441598901), ('friction', 0.0023547261110300863), ('gravity', 0)]
What is the force that slows down moving things? 	motion	friction	gravity	acceleration	friction	friction	[('friction', 0.34591874098437631), ('gravity', 0.2700023338043227), ('acceleration', 0.23161900320073592), ('motion', 0.010314156645606516)]
Light can <span class="blank"> </span>off surfaces that it strikes. 	motion	reflect			reflect	reflect	[('reflect', 1.0), ('motion', 0.019642447199265379)]
Your respiratory system helps you <span class="blank"> </span>. 	move	breathe	digest food		breathe	Don't know :(	[('breathe', 0), ('move', 0), ('digest food', 0)]
The process by which molten material adds new oceanic crust to the ocean floor 	continental drift theory	seafloor spreading theory			seafloor spreading theory	seafloor spreading theory	[('seafloor spreading theory', 2.1030984805901438), ('continental drift theory', 0.40224627936997176)]
What process do plants go through to make their own food? 	photosynthesis				photosynthesis	photosynthesis	[('photosynthesis', 1.2320897459484978)]
What is it called when two different organisms form a relationship where they are dependent upon each other? 	photosynthesis	symbiosis			symbiosis	symbiosis	[('symbiosis', 0.5401598974483065), ('photosynthesis', 0.016126394383147037)]
When plants use stored sugar for energy, they go through a process called 	photosynthesis	transpiration	respiration	perspiration	respiration	respiration	[('respiration', 1.2500236670882341), ('transpiration', 1.1302592288005016), ('photosynthesis', 1.0976944216003761), ('perspiration', 0.0033229395102168774)]
A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class="blank"> </span> 	physical change	evaporation	boiling		physical change	evaporation	[('evaporation', 1.3417495882138952), ('physical change', 1.0776803315560077), ('boiling', 0.38604134031609194)]
What causes sunflowers to bend toward the sunlight? 	positive tropism	pollination	negative tropism		positive tropism	negative tropism	[('negative tropism', 1.0), ('positive tropism', 1.0), ('pollination', 0.95062595754955559)]
<span class="blank"> </span> is a process in the water cycle, where water vapor rises into the atmosphere. 	precipitation	transpiration	evaporation		evaporation	precipitation	[('precipitation', 0.95143345214129094), ('evaporation', 0.8056305329827419), ('transpiration', 0.37610668100736111)]
When two substances are combined, this may occur: 	reaction	repel	retract		reaction	reaction	[('reaction', 0.61064976088185763), ('repel', 0.37079415576668256), ('retract', 0.082172280511656634)]
To take in light 	reflect	absorb	refract		absorb	absorb	[('absorb', 0.043174767089628849), ('reflect', 0.00027340087301752511), ('refract', 0)]
The bending of light as it passes from one material into another is 	reflection	refraction			refraction	refraction	[('refraction', 1.0098464385320858), ('reflection', 0.87123958340666052)]
When light strikes a surface and bounces off, what occurs? 	reflection	refraction			reflection	refraction	[('refraction', 1.0), ('reflection', 0.88013218311166619)]
During <span class="blank"> </span>, a light ray changes direction as it passes from one material to another. 	refraction	reflection			refraction	refraction	[('refraction', 0.66647571995969623), ('reflection', 0.62413053710333055)]
What is the name of the process by which most cells divide? 	regeneration	mitosis	life cycle		mitosis	mitosis	[('mitosis', 0.42264813968554371), ('regeneration', 0.40362859616279301), ('life cycle', 0.28141614056868008)]
Magnets contain a force that <span class="blank"> </span> certain metals like iron. 	repels	attracts	increases		attracts	attracts	[('attracts', 0.32306224628201324), ('repels', 0.19795370146642696), ('increases', 0.13316974260686676)]
The process of change from an egg to an adult butterfly is ____________. 	reproduction	metamorphosis	photosynthesis		metamorphosis	metamorphosis	[('metamorphosis', 0.53332524298755613), ('photosynthesis', 0.20587155774793395), ('reproduction', 0.2037630630891108)]
<span class="blank"> </span>is the spinning of a planet on its axis. 	revolution	rotation	orbit		rotation	orbit	[('orbit', 0.61488463770541113), ('revolution', 0.058352806944660829), ('rotation', 0.0085338730299467681)]
The spinning of a planet around an imaginary line through its center is called <span class="blank"> </span> 	revolving	rotation	gravity		rotation	revolving	[('revolving', 0.34043995040631003), ('gravity', 0.24845098760837608), ('rotation', 0.0085338730299467681)]
To move in a circle around an object is to <span class="blank"> </span> 	eclipse	rotate	revolve		rotate	rotate	[('rotate', 0.28960460566960611), ('revolve', 0.090538683413066839), ('eclipse', 0.025576653424309113)]
The path Earth makes around the sun is called the 	rotation	orbit			orbit	orbit	[('orbit', 0.41879758562703068), ('rotation', 0.00084558748023158515)]
When a planet moves around the sun, this is called a 	rotation	revolution	spin		revolution	revolution	[('revolution', 1.4390774566624773), ('spin', 0.36336253230880933), ('rotation', 0.28215874585128164)]
The movement of an object all the way around another planet is called 	rotation	revolving	gravity		revolving	revolving	[('revolving', 0.75748314742098999), ('rotation', 0.44362244897959169), ('gravity', 0.19198695865065918)]
To change from a solid into a liquid is to 	solidify	melt	freeze		melt	melt	[('melt', 2.2116730100223556), ('freeze', 0.73076414087006447), ('solidify', 0.31351068206313321)]
Being able to tell different sounds apart is called 	sound discrimination	vibration			sound discrimination	vibration	[('vibration', 0.0039459537625390418), ('sound discrimination', 0)]
A long and strong beak that tears flesh is 	spearing	tearing			tearing	tearing	[('tearing', 1.0385259978086796), ('spearing', 0.0014603895821448441)]
A characteristic of an organism that increases its chances of survival in its environment. 	camouflage	adaptation			adaptation	adaptation	[('adaptation', 1.00703125), ('camouflage', 0.84060256998069716)]
What process produces sex cells? 	splitting	mitosis	meiosis		meiosis	mitosis	[('mitosis', 0.58429237097134679), ('meiosis', 0.46100752840162207), ('splitting', 0)]
<span class="blank"> </span>is the process of liquid water turning into water vapor. 	storage	precipitation	evaporation	condensation	evaporation	evaporation	[('evaporation', 1.8735924785059361), ('condensation', 1.1464715699000207), ('precipitation', 0.86716499298987415), ('storage', 0.67286501377410468)]
The process of changing from a liquid state to a gas state 	sublimation	condensation	evaporation		evaporation	evaporation	[('evaporation', 1.3930223326306368), ('sublimation', 1.0294360361991415), ('condensation', 0.4369450310660366)]
Fill in the blank. Babies will <span class="blank"> </span> or get traits from their parents. 	survive	reproduce	inherit		inherit	reproduce	[('reproduce', 0.11510843826545862), ('inherit', 0.077266010651607001), ('survive', 0.00087724104975040395)]
Terracing a hillside can slow __________________________. 	weathering	absoprtion	erosion	soil formation	erosion	Don't know :(	[('absoprtion', 0), ('soil formation', 0), ('erosion', 0), ('weathering', 0)]
Rain, sleet, hail, and snow are all part of the <span class="blank"> </span> process in the water cycle. 	transpiration	evaporation	precipitation	condensation	precipitation	transpiration	[('transpiration', 0.37607889236899555), ('evaporation', 0.27252599379090736), ('precipitation', 0.1255075712335815), ('condensation', 0.03047504162063348)]
When an object spins on its axis, it <span class="blank"> </span>. 	vibrates	revolves	rotates	explodes	rotates	vibrates	[('vibrates', 0.5360075090790839), ('explodes', 0.41460964052337523), ('revolves', 0.058352806944660829), ('rotates', 0)]
The process of change from an egg to an adult butterfly is an example of: 	vibrations	metamorphosis			metamorphosis	metamorphosis	[('metamorphosis', 0.53332524298755613), ('vibrations', 0.31517488866170179)]
Which would cause liquid water to change to a solid? 	warming	heating	freezing	dripping	freezing	freezing	[('freezing', 1.7418637210876937), ('warming', 0.65329103620007445), ('dripping', 0.47014435921170511), ('heating', 0.19993363374710293)]
To separate a mixture of paper clips and sand, Joe should use: 	distillation	magnetic separation	decanting		magnetic separation	decanting	[('decanting', 2.0), ('magnetic separation', 1.0349486407001554), ('distillation', 0)]
The process of plowing furrows across a slope instead of up and down to prevent rainwater from carrying away topsoil down hills 	windbreaking	terracing	contour plowing	strip farming	contour plowing	contour plowing	[('contour plowing', 0.67117422240395452), ('strip farming', 0.32729370326294976), ('terracing', 0.24362941651168044), ('windbreaking', 0.080837068797064537)]
<span class="blank"> </span> is the major change in the body form of an animal during its life cycle. 	life cycle	metamorphosis			metamorphosis	life cycle	[('life cycle', 1.0014290177561693), ('metamorphosis', 0.60874044692702589)]
When an object orbits another object, it <span class="blank"> </span>. 	vibrates	rotates	explodes	revolves	revolves	vibrates	[('vibrates', 0.70644628099173568), ('explodes', 0.42347011865153056), ('revolves', 0.048588772221356727), ('rotates', 0)]
Precipitation that falls in form of balls of ice is called <span class="blank"> </span>. 	hail	rain	snow		hail	hail	[('hail', 1.0405174282086904), ('snow', 0.99262601221616209), ('rain', 0.19788490619582)]
If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class="blank"> </span>. 	harden	become whiter	shine	decay	decay	harden	[('harden', 0.040000000000000008), ('shine', 1.9601275874609399e-09), ('decay', 0), ('become whiter', 0)]
Through <span class="blank"> </span> human beings are able to produce new human beings. 	reproduction	circulation	digestion		reproduction	reproduction	[('reproduction', 0.83045394482909474), ('digestion', 0.73741464814006408), ('circulation', 0.25413768776528178)]
Teeth help us to <span class="blank"> </span>. 	talk	swim	write		talk	Don't know :(	[('swim', 0), ('write', 0), ('talk', 0)]
When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	condensation	evaporation	precipitation		evaporation	condensation	[('condensation', 1.324446554412128), ('evaporation', 1.3122539385786882), ('precipitation', 1.0203547251326224)]
Rocks change over time from one type to another. This process is called 	the rock cycle	erosion	melting		the rock cycle	erosion	[('erosion', 0.75370428793008826), ('melting', 0.75224413158783798), ('the rock cycle', 0)]
When water particles cool and change from a gas (like water vapor) back to a liquid, this is called: 	evaporation	condensation	precipitation		condensation	condensation	[('condensation', 1.7485565798359979), ('evaporation', 1.1504480914255097), ('precipitation', 0.84308503942844593)]
What starts the change from an igneous rock to a sedimentary rock? 	melting	weathering			weathering	melting	[('melting', 0.86122142163508686), ('weathering', 0.61346987616482884)]
<span class="blank"> </span> is the process of water vapor becoming liquid water when it cools. 	storage	precipitation	evaporation	condensation	condensation	condensation	[('condensation', 1.8873922008451707), ('evaporation', 1.339373154770741), ('precipitation', 0.89437749205175177), ('storage', 0.5055421209454426)]
The movement of an animal from one place to another as the seasons change is called 	pollination	migration	hibernation	decomposition	migration	migration	[('migration', 1.670079348213598), ('hibernation', 1.0400949766259331), ('decomposition', 0.39746968727549814), ('pollination', 0.24483933852842615)]
Energy from the sun reaches earth by <span class="blank"> </span>. 	friction	convection	reflection	radiation	radiation	radiation	[('radiation', 1.0), ('reflection', 0.24558933022326865), ('friction', 0.13064915882934791), ('convection', 0.0099160756109614983)]
The pull that planets and other objects have on each other is called what? 	gravitational pull				gravitational pull	Don't know :(	[('gravitational pull', 0)]
<span class="blank"> </span> is the type of thermal energy transfer that occurs when the you place a cooler object on a heat source to warm the cooler object up. 	convection	conduction	radiation		conduction	radiation	[('radiation', 0.76017307372292109), ('convection', 0.32596623579732292), ('conduction', 0.24377699621513668)]
<span class="blank"> </span> is the process of changing liquid water to water vapor. 	condensation	storage	evaporation		evaporation	evaporation	[('evaporation', 2.0149480810607234), ('condensation', 1.1099478184932552), ('storage', 0.54654886484235199)]
The act of saving, protecting or using resources wisely is called <span class="blank"> </span> 	innovation	conservation	recycling	condensation	conservation	conservation	[('conservation', 0.28084358876080084), ('recycling', 0.040211617286124893), ('innovation', 0.0042180353562158704), ('condensation', 0.0014516141631416104)]
<span class="blank"> </span> is the process of liquid water turning into water vapor 	storage	precipitation	evaporation	condensation	evaporation	evaporation	[('evaporation', 1.8735924785059361), ('condensation', 1.1464715699000207), ('precipitation', 0.86716499298987415), ('storage', 0.67286501377410468)]
A new carpet pad made from scraps of old carpets is an example of 	repairing	reducing	revising	recycling	recycling	reducing	[('reducing', 0.25095367986592504), ('repairing', 0.019573505205504084), ('revising', 0), ('recycling', 0)]
If a fire destroys a forest, new plants will grow. This process is called 	conservation	erosion	succession		succession	erosion	[('erosion', 0.010881812996875911), ('conservation', 0.0035516572246873947), ('succession', 0.00055911076030715787)]
A period when an animal goes into a long, deep sleep is called 	camouflage	hibernation	migration		hibernation	migration	[('migration', 1.0141384966645406), ('camouflage', 0.80321803008282255), ('hibernation', 0.79389142580612759)]
Waves change a shoreline by erosion and __________. 	condensation	precipitation	deposition	evaporation	deposition	deposition	[('deposition', 0.16842659633033219), ('evaporation', 0.11277873989896715), ('condensation', 0), ('precipitation', 0)]
Thermal energy that travels from the sun to Earth is transferred by 	conduction	convection	radiation		radiation	conduction	[('conduction', 1.2763319853151933), ('radiation', 1.002754820936639), ('convection', 0.12456144235197343)]
A new aluminum can made from used cans is an example of 	recycling	reducing	reusing	repairing	recycling	reusing	[('reusing', 0.52693723349901267), ('repairing', 0.030974828954500253), ('reducing', 0.001006574781820761), ('recycling', 0)]
Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5° Celsius? 	evaporation	freezing	melting	precipitation	melting	evaporation	[('evaporation', 0.75642605385219419), ('freezing', 0.70793573869222026), ('precipitation', 0.63046432841315037), ('melting', 0.51414670064901735)]
