	QUESTION	ANSWER_CHOICE	Q_UNDERGOER	A_UNDERGOER	UNDERGOER_SCORE	Q_ENABLER	A_ENABLER	ENABLER_SCORE	Q_TRIGGER	A_TRIGGER	TRIGGER_SCORE	Q_THEME	A_THEME	THEME_SCORE	Q_RESULT	A_RESULT	RESULT_SCORE	Q_SOURCE	A_SOURCE	SOURCE_SCORE	Q_TARGET	A_TARGET	TARGET_SCORE	Q_LOCATION	A_LOCATION	LOCATION_SCORE	Q_DIRECTION	A_DIRECTION	DIRECTION_SCORE	CORRECT_ANSWER	PREDICTED_ANSWER	PREDICTION
71	Which of the following must all plant and animal species do in order for each species to survive?	reproduce	all plant and animal species	animal	1.0		some process of generation or propagation, sexual or asexual			reproduction					each species to survive	survival of a species	0.764357539578													reproduce	reproduce	True
72	Which of the following must all plant and animal species do in order for each species to survive?	make food	all plant and animal species	plants	1.0		chlorophyll			make																				reproduce	reproduce	True
73	What is it called when an object is moved from one position to another? 	work	object	body	0.150752161293		force		moved	moves	1.0							one position			another							direction of the force		work	work	True
74	What is it called when an object is moved from one position to another? 	gravity	object	terrestrial bodies	0.150752161293				moved	natural force| move	1.0					fall toward the center of the earth		one position			another							towards each other		work	work	True
75	The process that forms reproductive cells is called?	mitosis		cell											reproductive cells	genetically identical daughter cells	0.423869449189													meiosis	meiosis	True
76	The process that forms reproductive cells is called?	meiosis		germ cell											reproductive cells	sex cells	1.0													meiosis	meiosis	True
77	What process ends with a new and improved plant? 	germinating		seeds or spores			increased metabolism			form					new and improved plant	new tissue	0.39367151120300004													grafting	germinating	False
78	What process ends with a new and improved plant? 	photosynthesis		green plants, algae, diatoms, and certain forms of bacteria			carbon dioxide and water			Photosynthesis					new and improved plant	remove carbon dioxide gas from the environment and the release oxygen in its place	0.17878476058499998													grafting	germinating	False
79	What process ends with a new and improved plant? 	grafting		bud						joined																				grafting	germinating	False
80	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	precipitation	glacial ice	water	0.8289959559460001	heated				falls						falls under gravity			sky			earth								melting	melting	True
81	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	melting	glacial ice	solid	0.137617065557	heated	heating it past its melting point	1.0		phase transition						liquid														melting	melting	True
82	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	freezing	glacial ice	liquid	0.651919101004	heated	temperature is lowered below its freezing point	0.00232513864217		phase transition						solid														melting	melting	True
83	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	evaporation	glacial ice	liquid state	0.375084802322	heated	increase in temperature and/or pressure	0.00320835210983		changing						gaseous state														melting	melting	True
84	What causes sunflowers to bend toward the sunlight?	negative tropism	sunflowers	plant or plant part	0.282613208535				bend	move	0.0234277384423																toward the sunlight	away from the stimulus	0.186810582857	positive tropism	positive tropism	True
85	What causes sunflowers to bend toward the sunlight?	transportation					system or vehicles		bend	move	0.0234277384423								one place			another					toward the sunlight			positive tropism	positive tropism	True
86	What causes sunflowers to bend toward the sunlight?	positive tropism	sunflowers	plant	1.0				bend	move	0.0234277384423																toward the sunlight	towards the stimulus	0.597402110204	positive tropism	positive tropism	True
87	What causes sunflowers to bend toward the sunlight?	pollination	sunflowers	plants	1.0		insect									dispersing their seeds			anther			stigma					toward the sunlight			positive tropism	positive tropism	True
88	The process of cutting into a hillside to slow the speed of water flowing down a slope 	terracing	hillside	hillside or sloping lawn	1.0				cutting	cut	1.0				slow the speed of water flowing down a slope	prevent the formation of rills, improves soil fertility through reduced erosion, and helps water conservation	0.262016602419													terracing	terracing	True
89	The process of cutting into a hillside to slow the speed of water flowing down a slope 	contour plowing													slow the speed of water flowing down a slope	prevents fertile topsoil from being carried downhill by flowing rainwater	0.270949515643											following the contours of the land		terracing	terracing	True
90	The process of cutting into a hillside to slow the speed of water flowing down a slope 	windbreaking	hillside				one or more rows of trees or shrubs								slow the speed of water flowing down a slope	provide shelter from the wind and to protect soil from erosion	0.0738269118017													terracing	terracing	True
91	The process of cutting into a hillside to slow the speed of water flowing down a slope 	fertilization					fertilizer		cutting	making	0.0006103515625				slow the speed of water flowing down a slope	production of crops	0.21976447383699999													terracing	terracing	True
92	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	strip farming										grasses	crops	0.00510204081633																strip farming	contour plowing	False
93	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	contour plowing		soil								grasses			prevent soil from being washed or blown away	prevents fertile topsoil from being carried downhill by flowing rainwater	0.37822637014700006											following the contours of the land		strip farming	contour plowing	False
94	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	crop rotation		land			different crops					grasses			prevent soil from being washed or blown away	add nutrients to the soil	0.21694412175099997													strip farming	contour plowing	False
95	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	fertilization		soil			fertilizer		planting	making	0.00692041522491	grasses			prevent soil from being washed or blown away	enrichment of soil	0.326604691886													strip farming	contour plowing	False
96	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	terracing				fertilizer			adding	form	5.72331219523e-06				replace nutrients used up by previous crops	support growing crops that require irrigation	0.18958641668499998													fertilization	fertilization	True
97	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	strip farming	soil			fertilizer							crops																	fertilization	fertilization	True
98	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	crop rotation	soil	land	2.70229301914e-05										replace nutrients used up by previous crops	add nutrients to the soil	0.34062797940899997													fertilization	fertilization	True
99	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	fertilization	soil	soil	1.0	fertilizer	addition of organic material or fertilizer	1.0	adding	making	5.72331219523e-06				replace nutrients used up by previous crops	replace the nutrients	0.829540089324													fertilization	fertilization	True
100	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	rain	balls of ice	water drops	0.371409523446		condensed from atmospheric vapor		falls	fall	1.0																			hail	hail	True
101	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	hail	balls of ice	water	0.8289959559460001		precipitation		falls	falls	1.0					rounded pellets of ice and hard snow														hail	hail	True
102	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	snow	balls of ice	water vapor	0.160131502844				falls	snow	0.21006944444400003					falls to the earth														hail	hail	True
103	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	harden										plaqued				make it hard														decay	harden	False
104	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	shine	teeth				source of light					plaqued				light														decay	harden	False
105	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	decay	teeth									plaqued																		decay	harden	False
106	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	become whiter										plaqued				whie or whiter														decay	harden	False
107	Bees help flowers reproduces through a process called 	phototropism	flowers	fixed organism	0.07554854632119999																							toward or away from light		pollination	pollination	True
108	Bees help flowers reproduces through a process called 	transpiration	flowers	plants	0.145124716553											vapor containing water and waste products														pollination	pollination	True
109	Bees help flowers reproduces through a process called 	pollination	flowers	plants	0.145124716553	bees	insect	0.9111570247930001								dispersing their seeds			anther			stigma								pollination	pollination	True
110	Bees help flowers reproduces through a process called 	fertilization							reproduces	making	0.734567901235					replace the nutrients														pollination	pollination	True
111	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	measuring	Students				comparison with a standard		find	determining	0.0005696789881290001	temperature	ratio of a physical quantity, such as a length, time, temperature	1.0																measuring	measuring	True
112	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	classifying	Students									temperature																		measuring	measuring	True
113	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	predicting	Students				observation, experience, or scientific reason		find	declare or indicate in advance	3.8303976414e-05	temperature																		measuring	measuring	True
114	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	inferring	Students				reasoning from evidence		find	conclude	0.00161780236649	temperature																		measuring	measuring	True
115	If a fire destroys a forest, new plants will grow. 	conservation	forest	wildlife and natural resources such as forests and water	1.0	fire destroys				protection, preservation, management, or restoration																				succession	conservation	False
116	If a fire destroys a forest, new plants will grow. 	erosion	forest	land surface materials, especially rocks, sediments, and soils	0.00016202876156500001	fire destroys	exogenic processes (such as water flow or wind)	0.000197163611208		deposited					new plants will grow				upstream portion of a river			downstream portion								succession	conservation	False
117	If a fire destroys a forest, new plants will grow. 	succession	forest	ecological community	0.0005591107603069999					predictable changes					new plants will grow															succession	conservation	False
118	"Babies will <span class=""blank""> </span> or get traits from their parents. "	reproduce	babies	animal	0.0017361111111099997				get	generate	3.20495464451e-09	traits				survival of a species														inherit	inherit	True
119	"Babies will <span class=""blank""> </span> or get traits from their parents. "	survive	babies			parents			get			traits				remain alive or in existence														inherit	inherit	True
120	"Babies will <span class=""blank""> </span> or get traits from their parents. "	inherit	babies			parents	parent	1.0	get	receive	0.270866618706	traits	trait	1.0																inherit	inherit	True
121	Terracing a hillside can slow __________________________. 	absorption	hillslide																											erosion	absorption	False
122	Terracing a hillside can slow __________________________. 	soil formation	hillslide				rocks									soil														erosion	absorption	False
123	Terracing a hillside can slow __________________________. 	erosion					exogenic processes (such as water flow or wind)												upstream portion of a river			downstream portion								erosion	absorption	False
124	Terracing a hillside can slow __________________________. 	weathering														sediments, clays, soils, and  substances that are dissolved in water									earth's surface					erosion	absorption	False
125	An adaptation in which an animal looks very much like another animal or an object is a _____________. 	mimicry	animal	organism	1.0								object in its surroundings		looks very much like another animal or an object	concealment or protection from predators	0.154505936458													mimicry	mimicry	True
126	An adaptation in which an animal looks very much like another animal or an object is a _____________. 	camouflage	animal	animal	1.0		natural surroundings						appearance		looks very much like another animal or an object	blend into its surroundings	0.00860683256304													mimicry	mimicry	True
127	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	destroy					you		cut down	destroy	1.52587890625e-05					break it or make it not exist anymore														destroy	plant	False
128	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	plant	trees or drain wetlands	(a seed, bulb, or plant	0.191401797923								in the ground			grow														destroy	plant	False
129	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	help					plants																							destroy	plant	False
130	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	build	trees or drain wetlands				combining materials or parts		cut down	make	0.0006103515625					something														destroy	plant	False
