	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
65	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	composted	0.556823555691	0.556823555691	0.556823555691	composted
66	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	processed	0.0	0.0	0.0	composted
67	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	crushed	0.0	0.0	0.0	composted
68	Which of the following must all plant and animal species do in order for each species to survive?	migrate	1.0	1.0	1.0	reproduce
69	Which of the following must all plant and animal species do in order for each species to survive?	reproduce	1.76435753958	1.76435753958	1.76435753958	reproduce
70	Which of the following must all plant and animal species do in order for each species to survive?	make food	1.0	1.0	1.0	reproduce
71	What is it called when an object is moved from one position to another? 	work	1.15075216129	1.15075216129	1.15075216129	work
72	What is it called when an object is moved from one position to another? 	gravity	1.15075216129	1.15075216129	1.15075216129	work
73	The process that forms reproductive cells is called?	mitosis	0.423869449189	0.423869449189	0.423869449189	meiosis
74	The process that forms reproductive cells is called?	meiosis	1.0	1.0	1.0	meiosis
75	What process ends with a new and improved plant? 	germinating	0.393671511203	0.393671511203	0.393671511203	grafting
76	What process ends with a new and improved plant? 	photosynthesis	0.178784760585	0.178784760585	0.178784760585	grafting
77	What process ends with a new and improved plant? 	grafting	0.0	0.0	0.0	grafting
78	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	freezing	0.654244239646	0.654244239646	0.654244239646	melting
79	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	melting	1.13761706556	1.13761706556	1.13761706556	melting
80	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	precipitation	0.828995955946	0.828995955946	0.828995955946	melting
81	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	evaporation	0.378293154432	0.378293154432	0.378293154432	melting
82	What causes sunflowers to bend toward the sunlight?	negative tropism	0.492851529834	0.492851529834	0.492851529834	positive tropism
83	What causes sunflowers to bend toward the sunlight?	transportation	0.0234277384423	0.0234277384423	0.0234277384423	positive tropism
84	What causes sunflowers to bend toward the sunlight?	positive tropism	1.62082984865	1.62082984865	1.62082984865	positive tropism
85	What causes sunflowers to bend toward the sunlight?	pollination	1.0	1.0	1.0	positive tropism
86	The process of cutting into a hillside to slow the speed of water flowing down a slope 	terracing	2.26201660242	2.26201660242	2.26201660242	terracing
87	The process of cutting into a hillside to slow the speed of water flowing down a slope 	contour plowing	0.270949515643	0.270949515643	0.270949515643	terracing
88	The process of cutting into a hillside to slow the speed of water flowing down a slope 	windbreaking	0.0738269118017	0.0738269118017	0.0738269118017	terracing
89	The process of cutting into a hillside to slow the speed of water flowing down a slope 	fertilization	0.220374825399	0.220374825399	0.220374825399	terracing
90	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	strip farming	0.00510204081633	0.00510204081633	0.00510204081633	strip farming
91	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	contour plowing	0.378226370147	0.378226370147	0.378226370147	strip farming
92	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	fertilization	0.333525107111	0.333525107111	0.333525107111	strip farming
93	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	crop rotation	0.216944121751	0.216944121751	0.216944121751	strip farming
94	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	terracing	0.189592139997	0.189592139997	0.189592139997	fertilization
95	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	strip farming	0.0	0.0	0.0	fertilization
96	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	crop rotation	0.340655002339	0.340655002339	0.340655002339	fertilization
97	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	fertilization	2.82954581264	2.82954581264	2.82954581264	fertilization
98	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	hail	1.82899595595	1.82899595595	1.82899595595	hail
99	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	rain	1.37140952345	1.37140952345	1.37140952345	hail
100	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	snow	0.370200947288	0.370200947288	0.370200947288	hail
101	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	harden	0.0	0.0	0.0	decay
102	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	shine	0.0	0.0	0.0	decay
103	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	become whiter	0.0	0.0	0.0	decay
104	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	decay	0.0	0.0	0.0	decay
105	Bees help flowers reproduces through a process called 	phototropism	0.0755485463212	0.0755485463212	0.0755485463212	pollination
106	Bees help flowers reproduces through a process called 	fertilization	0.734567901235	0.734567901235	0.734567901235	pollination
107	Bees help flowers reproduces through a process called 	pollination	1.05628174135	1.05628174135	1.05628174135	pollination
108	Bees help flowers reproduces through a process called 	transpiration	0.145124716553	0.145124716553	0.145124716553	pollination
109	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	measuring	1.00056967899	1.00056967899	1.00056967899	measuring
110	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	classifying	0.0	0.0	0.0	measuring
111	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	predicting	3.8303976414e-05	3.8303976414e-05	3.8303976414e-05	measuring
112	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	inferring	0.00161780236649	0.00161780236649	0.00161780236649	measuring
113	If a fire destroys a forest, new plants will grow. 	conservation	1.0	1.0	1.0	succession
114	If a fire destroys a forest, new plants will grow. 	erosion	0.000359192372773	0.000359192372773	0.000359192372773	succession
115	If a fire destroys a forest, new plants will grow. 	succession	0.000559110760307	0.000559110760307	0.000559110760307	succession
116	"Babies will <span class=""blank""> </span> or get traits from their parents. "	reproduce	0.00173611431606	0.00173611431606	0.00173611431606	inherit
117	"Babies will <span class=""blank""> </span> or get traits from their parents. "	survive	0.0	0.0	0.0	inherit
118	"Babies will <span class=""blank""> </span> or get traits from their parents. "	inherit	2.27086661871	2.27086661871	2.27086661871	inherit
119	Terracing a hillside can slow __________________________. 	absorption	0.0	0.0	0.0	erosion
120	Terracing a hillside can slow __________________________. 	soil formation	0.0	0.0	0.0	erosion
121	Terracing a hillside can slow __________________________. 	erosion	0.0	0.0	0.0	erosion
122	Terracing a hillside can slow __________________________. 	weathering	0.0	0.0	0.0	erosion
123	An adaptation in which an animal looks very much like another animal or an object is a _____________. 	mimicry	1.15450593646	1.15450593646	1.15450593646	mimicry
124	An adaptation in which an animal looks very much like another animal or an object is a _____________. 	camouflage	1.00860683256	1.00860683256	1.00860683256	mimicry
125	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	destroy	1.52587890625e-05	1.52587890625e-05	1.52587890625e-05	destroy
126	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	plant	0.191401797923	0.191401797923	0.191401797923	destroy
127	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	help	0.0	0.0	0.0	destroy
128	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	build	0.0006103515625	0.0006103515625	0.0006103515625	destroy
